City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,funafuti,-8.5243,179.1942,302.15,89,75,3.09,TV,1687894595
346,sambava,-14.2667,50.1667,292.7,78,2,5.18,MG,1687894714
347,manokwari,-0.8667,134.0833,299.73,76,72,2.99,ID,1687894714
348,filadelfia,39.9523,-75.1638,302.25,68,75,2.57,US,1687894628
349,belmonte,-15.8631,-38.8828,296.66,76,1,2.82,BR,1687894714
350,palikir - national government center,6.9248,158.1611,300.33,78,100,5.8,FM,1687894715
351,salinas,36.6777,-121.6555,292.57,72,100,5.14,US,1687894715
352,uttaradit,17.6667,100.5,295.16,99,100,0.48,TH,1687894506
353,peniche,39.3558,-9.3811,294.32,87,0,8.12,PT,1687894715
354,mermoz boabab,14.7065,-17.4758,301.46,74,75,4.12,SN,1687894716
355,panji,-7.7253,114.0995,296.73,79,25,2.76,ID,1687894716
356,pemangkat,1.1667,108.9667,299.09,80,46,3.09,ID,1687894716
357,swakopmund,-22.6833,14.5333,287.03,89,0,0.45,NA,1687894716
358,uturoa,-16.7333,-151.4333,300.02,71,1,10.34,PF,1687894717
359,masterton,-40.9597,175.6575,279.75,98,100,1.19,NZ,1687894717
360,hilo,19.7297,-155.09,297.18,97,100,2.68,US,1687894717
361,marka,1.7159,44.7717,297.8,85,4,6.11,SO,1687894717
362,kisangani,0.5167,25.2,295.68,83,21,1.08,CD,1687894718
363,riachao das neves,-11.7461,-44.91,303.12,28,11,3.02,BR,1687894718
364,nema,57.5067,50.5011,286.46,83,12,0.84,RU,1687894718
365,mul,20.0667,79.6667,297.42,95,100,3.49,IN,1687894718
366,kimbe,-5.5502,150.1429,295.68,88,56,2.72,PG,1687894719
367,polovinnoye,54.7914,65.9864,283.63,81,35,5.15,RU,1687894719
368,mount gambier,-37.8333,140.7667,280.54,93,100,1.63,AU,1687894720
369,ceeldheer,3.8488,47.1806,297.99,83,100,7.13,SO,1687894720
370,sao joao da barra,-21.6403,-41.0511,299.2,81,0,6.95,BR,1687894504
371,sao felix do xingu,-6.6447,-51.995,304.69,38,2,1.63,BR,1687894721
372,poronaysk,49.2167,143.1167,288.93,95,100,0.38,RU,1687894722
373,pavlovka,52.6897,47.1405,287.09,65,73,2.47,RU,1687894722
374,colon,9.3592,-79.9014,304.79,65,80,26.82,PA,1687894482
375,east grand forks,47.93,-97.0245,301.17,55,75,6.69,US,1687894722
376,nemuro,43.3236,145.575,287.13,99,100,8.48,JP,1687894723
377,huai khot,15.2909,99.6166,300.95,85,96,0.74,TH,1687894723
378,toguchin,55.2353,84.3858,288.07,95,100,3.3,RU,1687894723
379,isangel,-19.55,169.2667,294.85,65,38,4.08,VU,1687894724
380,bubaque,11.2833,-15.8333,299.69,76,100,3.51,GW,1687894724
381,mezhdurechenskiy,59.6,65.9333,286.04,67,76,1.97,RU,1687894724
382,pires do rio,-17.2997,-48.2794,298.85,35,0,1.92,BR,1687894724
383,linxia chengguanzhen,35.6003,103.2064,287.3,75,100,1.26,CN,1687894725
384,port isabel,26.0734,-97.2086,310.2,47,20,7.2,US,1687894725
385,marovoay,-16.1,46.6333,292.1,51,39,0.8,MG,1687894725
386,orapa,-21.2833,25.3667,289.51,29,0,4.24,BW,1687894725
387,okulovka,58.4008,33.2908,289.59,67,100,1.79,RU,1687894726
388,limon,10.0,-83.0333,304.29,74,0,4.63,CR,1687894726
389,fort stockton,30.894,-102.8793,315.18,7,0,8.75,US,1687894726
390,isiro,2.7739,27.616,293.29,95,100,0.55,CD,1687894727
391,lillehammer,61.1146,10.4674,291.18,71,37,0.46,NO,1687894727
392,kiuruvesi,63.65,26.6167,287.63,91,81,1.72,FI,1687894727
393,ust'-ilimsk,58.0006,102.6619,283.19,93,100,1.73,RU,1687894728
394,yaren,-0.5472,166.916,300.35,78,100,2.34,NR,1687894728
395,san antonio de pale,-1.4014,5.6325,297.84,81,18,6.33,GQ,1687894728
396,sarandi del yi,-33.35,-55.6333,284.66,96,100,6.18,UY,1687894729
397,buka,40.8108,69.1986,296.55,24,0,2.17,UZ,1687894729
398,kavaratti,10.5669,72.642,300.34,75,100,5.16,IN,1687894729
399,belyy yar,53.6039,91.3903,285.09,87,0,1.0,RU,1687894729
400,al kharijah,25.4514,30.5464,304.11,19,0,3.03,EG,1687894730
401,port douglas,-16.4833,145.4667,295.99,81,93,4.28,AU,1687894730
402,vadso,70.0744,29.7487,283.64,87,75,4.63,NO,1687894730
403,zhaodong,46.0833,125.9833,293.27,98,100,1.49,CN,1687894731
404,camana,-16.6228,-72.7111,292.1,72,36,3.22,PE,1687894731
405,uruzgan,32.8333,66.0,296.36,15,0,0.82,AF,1687894731
406,coos bay,43.3665,-124.2179,294.99,77,100,3.6,US,1687894732
407,kerrville,30.0474,-99.1403,312.89,31,0,5.66,US,1687894625
408,arteche,12.2645,125.4048,298.15,91,100,2.06,PH,1687894732
409,carutapera,-1.195,-46.02,298.97,90,78,3.06,BR,1687894733
410,myeik,12.4333,98.6,299.42,86,74,0.49,MM,1687894733
411,ewo,-0.8725,14.8206,299.99,63,91,0.97,CG,1687894733
412,tyukhtet,56.5389,89.3011,286.05,65,68,4.65,RU,1687894734
413,castro,-24.7911,-50.0119,290.4,71,0,2.32,BR,1687894687
414,new norfolk,-42.7826,147.0587,279.87,93,81,1.37,AU,1687894735
415,tangalle,6.024,80.7911,299.25,81,100,4.97,LK,1687894735
416,yarmouth,41.7057,-70.2286,297.41,90,100,4.63,US,1687894735
417,arendal,58.4615,8.7725,292.04,81,2,0.62,NO,1687894736
418,arraial do cabo,-22.9661,-42.0278,299.13,69,0,6.17,BR,1687894736
419,rongelap,11.1635,166.8941,300.96,77,100,8.45,MH,1687894736
420,matadi,-5.8167,13.45,295.91,81,51,3.22,CD,1687894736
421,kristiansund,63.1115,7.732,288.18,82,75,3.09,NO,1687894737
422,khlung,12.4547,102.2214,298.43,91,100,0.85,TH,1687894737
423,north mankato,44.1733,-94.0339,303.14,57,20,2.57,US,1687894737
424,thunder bay,48.4001,-89.3168,296.1,60,20,3.6,CA,1687894542
425,inarajan village,13.2736,144.7484,300.23,96,99,5.12,GU,1687894738
426,brookings,44.3114,-96.7984,301.03,49,100,5.66,US,1687894738
427,suez,29.9737,32.5263,299.33,59,0,4.75,EG,1687894738
428,necochea,-38.5473,-58.7368,282.28,88,100,5.16,AR,1687894738
429,koryazhma,61.3143,47.1691,288.3,66,14,1.72,RU,1687894739
430,lorengau,-2.0226,147.2712,299.74,78,97,2.56,PG,1687894739
431,essaouira,31.5125,-9.77,301.87,57,1,2.06,MA,1687894600
432,mbanza kongo,-6.267,14.2401,293.68,78,23,1.89,AO,1687894740
433,tongchuanshi,35.0806,109.0897,294.13,90,100,1.15,CN,1687894740
434,malakal,9.5334,31.6605,297.97,78,97,0.94,SS,1687894740
435,chinchilla,-26.75,150.6333,286.72,34,100,2.7,AU,1687894741
436,levuka,50.1834,-105.4011,300.0,32,75,2.57,CA,1687894741
437,abepura,-2.6333,140.5833,297.6,83,20,0.0,ID,1687894741
438,cootamundra,-34.65,148.0333,279.79,98,100,0.44,AU,1687894745
439,happy valley-goose bay,53.3168,-60.3315,295.32,46,100,7.72,CA,1687894745
440,carlsbad,33.1581,-117.3506,303.34,67,0,5.66,US,1687894590
441,eaglehawk,-36.7333,144.25,280.13,65,100,1.08,AU,1687894747
442,pangody,65.85,74.4859,282.95,94,100,1.62,RU,1687894747
443,kayangel,8.0823,134.7173,301.89,72,100,2.31,PW,1687894748
444,parauna,-16.9478,-50.4486,300.71,27,1,1.86,BR,1687894590
445,divrigi,39.371,38.1137,292.41,70,0,2.4,TR,1687894748
446,porto novo,6.4965,2.6036,299.05,83,100,4.9,BJ,1687894749
447,lake munmorah,-33.1936,151.5719,284.68,73,100,2.78,AU,1687894749
448,camocim,-2.9022,-40.8411,301.53,70,71,5.99,BR,1687894750
449,bayganin,48.6947,55.8742,291.3,47,56,3.13,KZ,1687894750
450,ibiza,38.9088,1.433,300.49,85,20,2.57,ES,1687894595
451,ghanzi,-21.5667,21.7833,287.72,35,2,3.83,BW,1687894750
452,bandundu,-3.3167,17.3667,301.34,49,47,0.74,CD,1687894751
453,sungai penuh,-2.0833,101.3833,291.56,97,95,0.39,ID,1687894751
454,ha'il,27.5219,41.6907,307.16,12,0,4.12,SA,1687894751
455,namakkal,11.2213,78.1652,299.2,60,100,4.68,IN,1687894752
456,hoopstad,-27.8327,25.9083,288.58,29,99,5.63,ZA,1687894752
457,kendari,-3.945,122.4989,296.77,95,61,1.01,ID,1687894753
458,zheleznogorsk-ilimskiy,56.5768,104.1217,280.78,95,100,0.99,RU,1687894753
459,qala i naw,34.9874,63.1289,298.38,17,0,1.18,AF,1687894753
460,gariaband,20.635,82.0614,297.18,92,100,4.93,IN,1687894753
461,ursulo galvan,22.7333,-98.3,309.55,50,1,4.28,MX,1687894754
462,raja,8.4596,25.678,294.91,94,31,2.06,SS,1687894754
463,gbadolite,4.2833,21.0167,295.37,94,56,1.09,CD,1687894754
464,festus,38.2206,-90.396,305.96,43,37,2.57,US,1687894755
465,mbalmayo,3.5167,11.5,295.33,97,100,2.17,CM,1687894755
